Node connections,Time
A - C,46.19769
A - C,47.23372
A - C,47.22937
A - C,47.21693
A - C,48.22939
A - C,49.21981
A - C,49.22361
A - C,49.21048
A - C,47.1964
A - C,48.23618
A - C,47.1972
A - C,48.37954
A - C,48.32742
A - C,47.3794
A - C,49.22597
A - C,48.19501
A - C,50.23348
A - C,51.2475
A - C,47.23075
A - C,47.22899
A - C,47.20546
A - C,47.19597
A - C,49.23008
A - C,49.21992
A - C,47.20035
A - C,47.19326
A - C,47.19206
A - C,48.2355
A - C,48.22509
A - C,47.22461
A - C,49.21156
A - C,49.21841
A - C,47.22829
A - C,49.21804
A - C,47.22402
A - C,47.21342
A - C,47.23217
A - C,47.22932
A - C,49.23041
A - C,47.19839
A - C,48.25522
A - C,48.23141
A - C,47.20568
A - C,47.25798
A - C,48.22243
A - C,47.19746
A - C,47.18034
A - C,49.20139
A - C,48.19897
A - C,47.23693
A - C,48.18792
A - C,47.19835
A - C,50.22346
A - C,47.20964
A - C,48.26465
A - C,47.2215
A - C,48.21846
A - C,50.21824
A - C,48.24679
A - C,47.20931
A - C,50.28231
A - C,48.21072
A - C,47.23785
A - C,48.22066
A - C,47.23695
A - C,47.17884
A - C,48.22421
A - C,47.19237
A - C,48.24813
A - C,49.23787
A - C,48.23682
A - C,47.19981
A - C,49.27867
A - C,47.19397
A - C,49.26825
A - C,47.23135
A - C,47.25112
A - C,48.25509
A - C,47.24
A - C,48.23921
A - C,47.21306
A - C,47.24553
A - C,47.20252
A - C,49.22856
A - C,47.20956
A - C,49.2516
A - C,47.24104
A - C,50.18912
A - C,48.25531
A - C,49.2546
A - C,47.21307
A - C,49.20739
A - C,47.21833
A - C,47.20159
A - C,47.21587
A - C,48.19526
A - C,49.21023
A - C,47.21566
A - C,47.22333
A - C,48.231
B - D,47.15058
B - D,47.09945
B - D,47.10676
B - D,48.10064
B - D,47.10532
B - D,50.10151
B - D,48.10361
B - D,47.10052
B - D,48.09053
B - D,49.0861
B - D,48.09406
B - D,47.08424
B - D,48.08587
B - D,48.10492
B - D,49.10453
B - D,48.08068
B - D,48.0859
B - D,48.07818
B - D,47.08274
B - D,47.08732
B - D,47.08315
B - D,49.08717
B - D,47.10046
B - D,49.08513
B - D,48.09347
B - D,48.09073
B - D,49.10269
B - D,49.09125
B - D,47.08323
B - D,48.10088
B - D,48.10125
B - D,48.08576
B - D,47.07492
B - D,47.08929
B - D,49.09183
B - D,47.07768
B - D,47.09303
B - D,47.0789
B - D,47.08504
B - D,47.08818
B - D,47.093
B - D,47.09892
B - D,48.08762
B - D,48.0787
B - D,48.08979
B - D,49.08361
B - D,48.07265
B - D,49.07368
B - D,47.08835
B - D,48.08264
B - D,48.08967
B - D,48.09313
B - D,47.0847
B - D,50.09246
B - D,50.0899
B - D,48.09325
B - D,48.08976
B - D,47.09581
B - D,50.09554
B - D,47.08107
B - D,49.09438
B - D,49.09571
B - D,48.09096
B - D,48.09179
B - D,51.10802
B - D,47.07946
B - D,47.07962
B - D,49.08643
B - D,49.0812
B - D,48.08533
B - D,47.0924
B - D,47.08921
B - D,48.09172
B - D,48.08712
B - D,48.09246
B - D,48.083
B - D,49.10186
B - D,48.09604
B - D,48.09095
B - D,51.10285
B - D,48.0867
B - D,50.10776
B - D,49.09766
B - D,48.09237
B - D,47.09723
B - D,48.08839
B - D,47.08479
B - D,50.08411
B - D,47.08377
B - D,47.10369
B - D,48.08947
B - D,47.07744
B - D,48.09906
B - D,47.08308
B - D,47.09722
B - D,48.08618
B - D,49.08715
B - D,47.08528
B - D,51.08763
B - D,47.08543
