pDependency,Node connections,Average of Time,,,,,
0.5,1,48.04,,,,0.5,
,2,48.09,0.05,0.001136335,,0.6,1
0.7,3,47.60,,,,0.7,2
,4,47.75,,,,0.8,3
(blank),(blank),,,,,0.9,4
0.3,6,48.80,,,,1,5
,,,,,,1.1,6
,,,,,,1.2,7
,,,,,,1.3,8
,,,,,,1.4,9
,,,,,,1.5,10
,,,,,,1.6,11
,,,,,,1.7,12
,,,,,,1.8,13
,,,,,,1.9,14
,,,,,,2,15
,,,,,,2.1,16
,,,,,,2.2,17
,,,,,,2.3,18
,,,,,,2.4,19
,,,,,,2.5,20
,,,,,,2.6,21
,,,,,,2.7,22
,,,,,,2.8,23
,,,,,,2.9,24
,,,,,,3,25
,,,,,,3.1,26
,,,,,,3.2,27
,,,,,,3.3,28
,,,,,,3.4,29
,,,,,,3.5,30
,,,,,,3.6,31
,,,,,,3.7,32
,,,,,,3.8,33
,,,,,,3.9,34
,,,,,,4,35
,,,,,,4.1,36
,,,,,,4.2,37
,,,,,,4.3,38
,,,,,,4.4,39
,,,,,,4.5,40
,,,,,,4.6,41
,,,,,,4.7,42
,,,,,,4.8,43
,,,,,,4.9,44
,,,,,,5,45
,,,,,,5.1,46
,,,,,,5.2,47
,,,,,,5.3,48
,,,,,,5.4,49
,,,,,,5.5,50
,,,,,,5.6,51
,,,,,,5.7,52
,,,,,,5.8,53
,,,,,,5.9,54
,,,,,,6,55
,,,,,,6.1,56
,,,,,,6.2,57
,,,,,,6.3,58
,,,,,,6.4,59
,,,,,,6.5,60
,,,,,,6.6,61
,,,,,,6.7,62
,,,,,,6.8,63
,,,,,,6.9,64
,,,,,,7,65
